Model,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std
SAGEConv + Transformer + Gated (No Pretrain),1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0
SAGEConv + Transformer + Gated (No Pretrain),2,Backdoor,0.0720 +/- 0.0528,0.0017 +/- 0.0014,0.0033 +/- 0.0027,0.003348266564738462,0.0027262311283468396
SAGEConv + Transformer + Gated (No Pretrain),3,DoS,0.3291 +/- 0.0007,0.6895 +/- 0.0136,0.4455 +/- 0.0030,0.44549536619932284,0.003025413601858289
SAGEConv + Transformer + Gated (No Pretrain),4,Exploits,0.7943 +/- 0.0108,0.5914 +/- 0.0151,0.6777 +/- 0.0060,0.6777221672274981,0.005998338257924957
SAGEConv + Transformer + Gated (No Pretrain),5,Fuzzers,0.5801 +/- 0.0200,0.7010 +/- 0.0066,0.6347 +/- 0.0129,0.6346773324678021,0.01287741379819133
SAGEConv + Transformer + Gated (No Pretrain),6,Generic,0.9991 +/- 0.0004,0.9617 +/- 0.0002,0.9800 +/- 0.0003,0.9800194578367839,0.00026960215822569933
SAGEConv + Transformer + Gated (No Pretrain),7,Reconnaissance,0.7181 +/- 0.0348,0.7943 +/- 0.0239,0.7542 +/- 0.0299,0.7542181113356178,0.029882457429268372
SAGEConv + Transformer + Gated (No Pretrain),8,Shellcode,0.2793 +/- 0.0150,0.5917 +/- 0.0441,0.3793 +/- 0.0220,0.37928314840598043,0.021982691720779445
SAGEConv + Transformer + Gated (No Pretrain),9,Worms,0.2185 +/- 0.1405,0.3182 +/- 0.2412,0.1743 +/- 0.0390,0.17433991779692096,0.03902642645957432
TGCF-IDS (Proposed),0,Normal,0.9903 +/- 0.0006,0.9522 +/- 0.0032,0.9709 +/- 0.0017,0.9708698170005858,0.0016906041856381145
TGCF-IDS (Proposed),1,Analysis,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0,0.0
TGCF-IDS (Proposed),2,Backdoor,0.1426 +/- 0.0160,0.0051 +/- 0.0014,0.0099 +/- 0.0026,0.009905373148987566,0.0026230762562754343
TGCF-IDS (Proposed),3,DoS,0.3276 +/- 0.0011,0.6690 +/- 0.0048,0.4398 +/- 0.0017,0.4397909621217922,0.0016559747420946533
TGCF-IDS (Proposed),4,Exploits,0.7877 +/- 0.0032,0.5991 +/- 0.0068,0.6805 +/- 0.0035,0.6805345205757701,0.003457590845377677
TGCF-IDS (Proposed),5,Fuzzers,0.6285 +/- 0.0096,0.6984 +/- 0.0008,0.6616 +/- 0.0054,0.6615880250204268,0.005384479657060679
TGCF-IDS (Proposed),6,Generic,0.9973 +/- 0.0014,0.9598 +/- 0.0001,0.9782 +/- 0.0006,0.9781810971707277,0.0006372209924302717
TGCF-IDS (Proposed),7,Reconnaissance,0.7032 +/- 0.0090,0.7810 +/- 0.0169,0.7398 +/- 0.0026,0.7398491773172525,0.002592744353333744
TGCF-IDS (Proposed),8,Shellcode,0.2705 +/- 0.0056,0.5811 +/- 0.0184,0.3691 +/- 0.0089,0.36912173649344276,0.008919370561226646
TGCF-IDS (Proposed),9,Worms,0.2437 +/- 0.0525,0.1288 +/- 0.0214,0.1656 +/- 0.0198,0.16556697542613033,0.019751716304319322
