Experiment,Seed,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fpr,fnr,minority_recall_rare4,minority_recall_all_attacks,roc_auc,pr_auc,train_time_sec,inf_latency_ms_per_1k
D. Remove temporal edges,123,0.8269810037409513,0.5053749183213034,0.5472588331576792,0.49699833157825396,0.8389162146179161,0.09535135135135135,0.007323744816024001,0.19556985684427786,0.5075488536586825,0.9639245663059745,0.5233121805984642,91.4689785999999,11.068420541226901
D. Remove temporal edges,456,0.8199849390273527,0.5230676862447451,0.5460342177351507,0.49868286605766404,0.833374277047811,0.11324324324324324,0.006441365922527133,0.19421080359843215,0.508176157843861,0.9639730560508412,0.5232918660104597,91.3896034999998,10.9823240052505
E. Remove contrastive pretraining,42,0.8329568090171501,0.5032775002004488,0.5425730505507288,0.4949585402221109,0.8436188181021353,0.0834054054054054,0.006684020118238772,0.179827815441023,0.5010151012125215,0.9653931152817865,0.5257671035165365,91.13634479999973,10.952941748039702
E. Remove contrastive pretraining,123,0.8322887820045669,0.5162241069176539,0.5484682565378477,0.4997414043751168,0.8436454166162141,0.09097297297297298,0.005338392305656049,0.19183129079383363,0.5084061709279388,0.9658662250887419,0.5270023092531899,91.16587570000002,11.02686197347238
E. Remove contrastive pretraining,456,0.8271389010348346,0.5219149388274884,0.5480447838530322,0.5002149209419303,0.8391382010810486,0.09905405405405406,0.006110473837465808,0.19531966112154792,0.5088335436204863,0.9658584182044262,0.5266325281533666,91.3454727000003,11.02325462760387
F. Remove feature tokenizer,42,0.841689743963465,0.5038790678056061,0.5822399711203904,0.5137288895599137,0.851608586595706,0.07024324324324324,0.007588458484073061,0.27345558005935366,0.5436269949385718,0.9658296616533383,0.5434528311226149,15.403440900000078,2.1733724432768358
F. Remove feature tokenizer,123,0.8489408735364136,0.515122270889288,0.5700998233233725,0.5126257195644195,0.8584574456962385,0.05978378378378378,0.005073678637606989,0.232556358735604,0.528975779668612,0.966979171461479,0.5404489228349387,15.34665159999986,2.1721068357378948
F. Remove feature tokenizer,456,0.8468396249331973,0.5177736995110276,0.5925466093756009,0.5190729990637265,0.856167680171071,0.06456756756756757,0.005536927556692844,0.2894471443999746,0.5544481845915085,0.9687165916300795,0.5489774377261175,15.414348699999664,2.150702035661593
G. Replace learned fusion with concatenation,42,0.8388354467278822,0.5208320317896047,0.5404364351965741,0.49798669213712,0.8476851509218558,0.06694594594594594,0.006860495896938146,0.1764250949631095,0.4968122553235207,0.9651024402890134,0.5163720415074403,90.49118690000023,10.963925326726686
G. Replace learned fusion with concatenation,123,0.832179468493417,0.5046320476129673,0.5374086983247748,0.48438275625324384,0.8421970623331334,0.06856756756756757,0.0067943174799258805,0.18996234416129346,0.493628283423924,0.9645503204853785,0.5026849181016865,89.5169876,10.694888986054183
G. Replace learned fusion with concatenation,456,0.8361876305689161,0.48986402987680994,0.5495809126409954,0.4951325377757024,0.8469341884490241,0.0795945945945946,0.004764846024883085,0.20552679368800714,0.5083781912227276,0.9650743748993518,0.5169210025035331,88.6010652,10.669709226064061
H. Remove edge attributes,42,0.8301146577272507,0.5167380626836623,0.5432837452815765,0.49592517475173886,0.8413256469207714,0.0902972972972973,0.006750198535251037,0.18111426484067994,0.5025705277903403,0.964693239785754,0.5305395694030661,91.95290709999972,11.127980615072868
H. Remove edge attributes,123,0.8197177282223194,0.5092227841485646,0.5468434863181917,0.4949571767191799,0.8333136404767938,0.11256756756756757,0.007014912203300097,0.19555222031637126,0.5090002700832761,0.9630909719304992,0.5217147112561425,91.68557750000036,10.816734683959965
H. Remove edge attributes,456,0.8207015498226692,0.5148077011258789,0.5497552059022663,0.49915450452276683,0.8340208520673784,0.11197297297297297,0.00796346951380923,0.2030049444680447,0.5121694479995152,0.9633511045659235,0.524962693526611,90.7406818999998,10.998134382736817
I. Full TGCF-IDS,42,0.839600641305932,0.5221570718837573,0.5484540179260181,0.5060129505732726,0.8488690834378988,0.06654054054054054,0.005845760169416747,0.19294301959396298,0.5056756355334134,0.9646657945344502,0.5241550693877607,91.26504479999949,11.066573142889402
I. Full TGCF-IDS,123,0.8359447116552495,0.5285822196378913,0.5462629487645136,0.5002195461154152,0.8462889627149766,0.07775675675675675,0.005581046501367687,0.1857252290751218,0.5044873604890993,0.9651180189694196,0.5202804157341655,89.77633590000005,10.698254627602406
I. Full TGCF-IDS,456,0.8298595928679007,0.5178129384101071,0.5481084289147355,0.5015078325203246,0.8412722505143831,0.09091891891891891,0.005536927556692844,0.19421080359843215,0.5080003564518081,0.9654593428063366,0.5273026232422413,89.30299860000014,10.683080697666636
