Experiment,Class ID,Class Name,Precision,Recall,F1 Score,f1_mean,f1_std,recall_mean,recall_std
G. Replace learned fusion with concatenation,9,Worms,0.3012 +/- 0.0792,0.1288 +/- 0.0214,0.1726 +/- 0.0002,0.17255569745991203,0.00020068306547084218,0.12878787878787878,0.021427478217774167
H. Remove edge attributes,0,Normal,0.9902 +/- 0.0008,0.8951 +/- 0.0104,0.9402 +/- 0.0060,0.9401873962364182,0.005955403099098326,0.895054054054054,0.010361002721958494
H. Remove edge attributes,1,Analysis,0.0015 +/- 0.0021,0.0015 +/- 0.0021,0.0015 +/- 0.0021,0.0014858841010401188,0.0021013574478054905,0.0014771048744460858,0.0020889417464890624
H. Remove edge attributes,2,Backdoor,0.1726 +/- 0.0277,0.0137 +/- 0.0037,0.0253 +/- 0.0064,0.025279239837256343,0.006398316938186701,0.013722126929674098,0.003705397769244059
H. Remove edge attributes,3,DoS,0.3321 +/- 0.0004,0.7506 +/- 0.0044,0.4605 +/- 0.0008,0.4604509268351212,0.0007602676770730423,0.7505502567865004,0.00437935143672073
H. Remove edge attributes,4,Exploits,0.8428 +/- 0.0045,0.5368 +/- 0.0022,0.6558 +/- 0.0011,0.6558245490106254,0.001125451656887689,0.5367708707629656,0.0022056949168407043
H. Remove edge attributes,5,Fuzzers,0.5186 +/- 0.0188,0.7130 +/- 0.0014,0.6003 +/- 0.0128,0.6002576934439291,0.012756333643461045,0.7130210051688112,0.0014402068463332891
H. Remove edge attributes,6,Generic,0.9991 +/- 0.0002,0.9616 +/- 0.0004,0.9800 +/- 0.0002,0.9799999546768469,0.00020443455708419122,0.9615989260417219,0.0004376914028002044
H. Remove edge attributes,7,Reconnaissance,0.6625 +/- 0.0052,0.8364 +/- 0.0019,0.7394 +/- 0.0036,0.73936150792349,0.0036317366883211253,0.8363844393592678,0.0018684132286675593
H. Remove edge attributes,8,Shellcode,0.2529 +/- 0.0101,0.6138 +/- 0.0120,0.3581 +/- 0.0103,0.35810230149460676,0.010347350149630053,0.6137566137566138,0.012026615253073934
H. Remove edge attributes,9,Worms,0.3635 +/- 0.0229,0.1439 +/- 0.0214,0.2058 +/- 0.0257,0.20584006641961808,0.025743918368922758,0.14393939393939392,0.02142747821777417
I. Full TGCF-IDS,0,Normal,0.9925 +/- 0.0001,0.9216 +/- 0.0100,0.9557 +/- 0.0053,0.9557240511815461,0.005322908160897978,0.9215945945945946,0.00996299459305588
I. Full TGCF-IDS,1,Analysis,0.0041 +/- 0.0029,0.0030 +/- 0.0021,0.0034 +/- 0.0024,0.003420595818361828,0.0024190772844633157,0.0029542097488921715,0.0020889417464890624
I. Full TGCF-IDS,2,Backdoor,0.1584 +/- 0.0454,0.0120 +/- 0.0037,0.0223 +/- 0.0068,0.022306067314299915,0.006815173755568528,0.012006861063464836,0.0037053977692440595
I. Full TGCF-IDS,3,DoS,0.3310 +/- 0.0006,0.7502 +/- 0.0030,0.4593 +/- 0.0011,0.45929870542485846,0.0011402522283712735,0.7502241786907965,0.003023923859295898
I. Full TGCF-IDS,4,Exploits,0.8409 +/- 0.0030,0.5417 +/- 0.0016,0.6590 +/- 0.0021,0.6589696459406387,0.002065093077454484,0.5417415259312492,0.0016241527874380946
I. Full TGCF-IDS,5,Fuzzers,0.5661 +/- 0.0216,0.7129 +/- 0.0028,0.6308 +/- 0.0123,0.6307917725313964,0.012326410270252185,0.7129110304629935,0.0028455623079150184
I. Full TGCF-IDS,6,Generic,0.9993 +/- 0.0002,0.9595 +/- 0.0005,0.9790 +/- 0.0003,0.9790121031710379,0.0003205374740717269,0.9594969353328741,0.0004746269882374713
I. Full TGCF-IDS,7,Reconnaissance,0.6627 +/- 0.0044,0.8263 +/- 0.0027,0.7355 +/- 0.0028,0.7354745626122225,0.002814072383875334,0.8262776506483599,0.0026560618377544283
I. Full TGCF-IDS,8,Shellcode,0.2660 +/- 0.0069,0.6049 +/- 0.0054,0.3694 +/- 0.0067,0.3694279319933509,0.006652149076747924,0.6049382716049383,0.005435991184276002
I. Full TGCF-IDS,9,Worms,0.4075 +/- 0.0289,0.1439 +/- 0.0214,0.2114 +/- 0.0236,0.21137566137566136,0.02363546015258418,0.14393939393939392,0.02142747821777417
