accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,binary_fpr,binary_fnr,roc_auc_macro,pr_auc_macro,model,seed,training_time_s,inference_ms_per_1k,total_params,trainable_params
0.8323009279502502,0.4654920378066937,0.5121664690286452,0.47156481664516114,0.8415915151030823,0.0797027027027027,0.010897379334686314,0.9637842558792015,0.4978045953628717,GraphSAGE-only,123,7.1855034828186035,1.4079877935588485,48330,48330
0.8354710197735996,0.4710017453448188,0.5134913978318866,0.4757249049120539,0.8441798825316708,0.07335135135135135,0.012088590840907085,0.9623509227491823,0.4991707310511191,GraphSAGE-only,456,6.67482590675354,1.708767837230106,48330,48330
0.8363090900257494,0.48483872162791747,0.5349606833377694,0.48969345001467335,0.8460393365204156,0.07735135135135135,0.0069707932586252535,0.9658529404344234,0.5228789293170057,GraphSAGE + Transformer (Concat),42,91.10941290855408,11.16940308339984,207818,207818
0.8470582519554972,0.49422499675856885,0.5368475958720516,0.4989986081690123,0.8550768387174937,0.06072972972972973,0.006573722756551663,0.9674304923086632,0.5224129367708091,GraphSAGE + Transformer (Concat),123,90.88612771034241,10.986068775440359,207818,207818
0.8449327114609143,0.4945050823030491,0.5411327691831289,0.4959060779962492,0.8531603753080436,0.05967567567567567,0.008272302126533133,0.9666097845380996,0.5200813155129858,GraphSAGE + Transformer (Concat),456,90.70617198944092,10.984105410082652,207818,207818
0.8387261332167323,0.4796087755572235,0.5352452148084873,0.49368486182826876,0.8481570620264132,0.0748918918918919,0.007676696373422748,0.9657337030055644,0.5231047562750606,SAGEConv + Transformer + Gated (No Pretrain),42,91.62919545173645,11.186250958991504,257738,257738
0.8468882087159306,0.5003714278883609,0.6026709529824499,0.507568154813372,0.8557784225408992,0.05786486486486486,0.005956057531103856,0.9684590597107958,0.5467672228946826,SAGEConv + Transformer + Gated (No Pretrain),123,91.90593981742859,11.333633672679667,257738,257738
0.8371593062235826,0.5141946762263138,0.536020472476114,0.5012620878410879,0.8463665941746475,0.07651351351351351,0.008845848407306097,0.9652459943873108,0.5184064331372326,SAGEConv + Transformer + Gated (No Pretrain),456,92.0248031616211,11.291771711601447,257738,257738
0.8488437059709469,0.5011021056186158,0.539739263954272,0.5002123756206738,0.8558754924484374,0.049243243243243244,0.0070369716756375185,0.9655547107932625,0.5211261914319463,TGCF-IDS (Proposed),42,92.02254819869995,11.338851938718888,257738,257738
0.8514793761842298,0.5109506772141812,0.5407659360264181,0.5051723060828579,0.8581257309925803,0.04337837837837838,0.007742874790435013,0.9671808983962933,0.5214641909324085,TGCF-IDS (Proposed),123,92.33057308197021,11.179729574352036,257738,257738
0.8481756789583637,0.5153208771422182,0.5318787224970413,0.4992376235790029,0.8550521714114099,0.050756756756756755,0.00809582634783376,0.9659096986628579,0.5168473453569427,TGCF-IDS (Proposed),456,92.21724915504456,11.217158036370298,257738,257738
